,team_id,team_name,country_name,match_count,goal_scored_total,goal_conceded_total,goal_scored_avg,goal_conceded_avg,dribbling,dribbling_class,passing,passing_class,speed,speed_class,assiting,assisting_class,crossing,crossing_class,shooting,shooting_class,defence,defence_class
78,10189,FC Schalke 04,Germany,51,65.0,68.0,1.2745098039215685,1.3333333333333333,43,Normal,42,Mixed,58,Balanced,64,Normal,61,Normal,37,Normal,55,Medium
79,10194,Stoke City,England,57,68.0,77.0,1.1929824561403508,1.3508771929824561,41,Normal,49,Mixed,48,Balanced,51,Normal,59,Normal,49,Normal,44,Medium
80,10205,Villarreal CF,Spain,60,65.0,58.0,1.0833333333333333,0.9666666666666667,42,Normal,36,Mixed,48,Balanced,36,Normal,52,Normal,55,Normal,47,Medium
81,10233,Genoa,Italy,60,86.0,80.0,1.4333333333333333,1.3333333333333333,52,Normal,68,Long,64,Balanced,66,Normal,45,Normal,23,Little,27,Deep
82,10252,Aston Villa,England,57,47.0,111.0,0.8245614035087719,1.9473684210526316,37,Normal,54,Mixed,63,Balanced,60,Normal,48,Normal,38,Normal,35,Medium
83,10260,Manchester United,England,57,78.0,53.0,1.368421052631579,0.9298245614035088,42,Normal,44,Mixed,38,Balanced,49,Normal,44,Normal,40,Normal,54,Medium
84,10261,Newcastle United,England,57,62.0,100.0,1.087719298245614,1.7543859649122806,45,Normal,49,Mixed,58,Balanced,47,Normal,54,Normal,46,Normal,41,Medium
85,10267,Valencia CF,Spain,60,87.0,67.0,1.45,1.1166666666666667,46,Normal,35,Mixed,35,Balanced,37,Normal,51,Normal,58,Normal,49,Medium
86,10268,Elche CF,Spain,22,22.0,30.0,1.0,1.3636363636363635,52,Normal,48,Mixed,51,Balanced,53,Normal,54,Normal,57,Normal,49,Medium
87,10269,VfB Stuttgart,Germany,51,72.0,103.0,1.411764705882353,2.019607843137255,55,Normal,41,Mixed,59,Balanced,58,Normal,66,Normal,48,Normal,41,Medium
88,208931,Carpi,Italy,38,37.0,57.0,0.9736842105263158,1.5,45,Normal,65,Mixed,80,Fast,70,Risky,40,Normal,50,Normal,25,Deep
